,cf1,cf2,units
GPP,86400.0,1e-09,PgC/yr
AR,86400.0,1e-09,PgC/yr
HR,86400.0,1e-09,PgC/yr
NPP,86400.0,1e-09,PgC/yr
NBP,86400.0,1e-09,PgC/yr
NEE,86400.0,1e-09,PgC/yr
COL_FIRE_CLOSS,86400.0,1e-09,PgC/yr
QHR,86400.0,1e-09,TtH2O/yr
QVEGT,86400.0,1e-09,TtH2O/yr
QOVER,86400.0,1e-09,TtH2O/yr
QDRAI,86400.0,1e-09,TtH2O/yr
FCTR,0.03456,1e-09,TtH2O/yr
FCEV,0.03456,1e-09,TtH2O/yr
FGEV,0.03456,1e-09,TtH2O/yr
EFLX_LH_TOT,0.03456,1e-09,TtH2O/yr
TOTVEGC,0.0027397260273972,1e-09,PgC
TOTECOSYSC,0.0027397260273972,1e-09,PgC
TOTSOMC,0.0027397260273972,1e-09,PgC
TOTSOMC_1m,0.0027397260273972,1e-09,PgC
FAREA_BURNED,86400.0,1e-06,1e6km2
FCTR-TLAI,9.468493150684932e-05,1/lasum,kg/m2leaf/d
FCEV-TLAI,9.468493150684932e-05,1/lasum,kg/m2leaf/d
FGEV-TLAI,9.468493150684932e-05,1/lasum,kg/m2leaf/d
EFLX_LH_TOT-TLAI,9.468493150684932e-05,1/lasum,kg/m2leaf/d
GPP-TLAI,236.7123287671233,1/lasum,gC/m2leaf/d
AR-TLAI,236.7123287671233,1/lasum,gC/m2leaf/d
HR-TLAI,236.7123287671233,1/lasum,gC/m2leaf/d
NPP-TLAI,236.7123287671233,1/lasum,gC/m2leaf/d
NBP-TLAI,236.7123287671233,1/lasum,gC/m2leaf/d
NEE-TLAI,236.7123287671233,1/lasum,gC/m2leaf/d
COL_FIRE_CLOSS-TLAI,236.7123287671233,1/lasum,gC/m2leaf/d
QHR-TLAI,236.7123287671233,1/lasum,kg/m2leaf/d
QVEGT-TLAI,236.7123287671233,1/lasum,kg/m2leaf/d
QOVER-TLAI,236.7123287671233,1/lasum,kg/m2leaf/d
QDRAI-TLAI,236.7123287671233,1/lasum,kg/m2leaf/d
