,param,SP_active?
0,,
1,,
2,taulnir,1
3,taulvis,1
4,tausnir,1
5,tausvis,1
6,rholnir,1
7,rholvis,1
8,rhosnir,1
9,rhosvis,1
10,xl,1
11,,
12,displar,1
13,dleaf,1
14,z0mr,1
15,csoilc,1
16,cv,1
17,a_coef,1
18,a_exp,1
19,zlnd,1
20,zsno,1
21,d_max,1
22,frac_sat_soil_dsl_init,1
23,lai_dl,1
24,z_dl,1
25,zetamaxstable,1
26,wind_min,1
27,,
28,tkd_sand,1
29,tkd_clay,1
30,tkd_om,1
31,tkm_om,1
32,pd,1
33,csol_om,1
34,csol_sand,1
35,csol_clay,1
36,,
37,bsw_sf,1
38,hksat_sf,1
39,sucsat_sf,1
40,watsat_sf,1
41,om_frac_sf,1
42,,
43,,
44,baseflow_scalar,1
45,maximum_leaf_wetted_fraction,1
46,interception_fraction,1
47,aq_sp_yield_min,1
48,fff,1
49,liq_canopy_storage_scalar,1
50,snow_canopy_storage_scalar,1
51,perched_baseflow_scalar,0
52,e_ice,1
53,n_baseflow,1
54,slopebeta,1
55,slopemax,1
56,pc,1
57,mu,1
58,,
59,n_melt_coef,1
60,accum_factor,1
61,,
62,eta0_vionnet,1
63,drift_gs,1
64,ssi,1
65,wimp,1
66,upplim_destruct_metamorph,1
67,wind_snowcompact_fact,1
68,rho_max,1
69,tau_ref,1
70,snowcan_unload_wind_fact,1
71,snowcan_unload_temp_fact,1
72,xdrdt,0
73,snw_rds_refrz,1
74,scvng_fct_mlt_sf,1
75,ceta,1
76,C2_liq_Brun89,1
77,,
78,medlynslope,1
79,medlynintercept,1
80,fnps,1
81,theta_psii,1
82,theta_ip,1
83,theta_cj,1
84,kc25_coef,1
85,ko25_coef,1
86,cp25_yr2000,1
87,fnr,1
88,act25,1
89,tpu25ratio,1
90,kp25ratio,1
91,lmrse,1
92,,
93,,
94,,
95,slatop,1
96,jmaxb0,1
97,jmaxb1,1
98,wc2wjb0,1
99,enzyme_turnover_daily,1
100,relhExp,1
101,minrelh,1
102,luna_theta_cj,1
103,,
104,kmax,1
105,krmax,1
106,psi50,1
107,ck,1
108,rootprof_beta,1
109,,
110,,
111,fbw,1
112,nstem,1
113,rstem,1
114,wood_density,1
115,,
116,grperc,0
117,,
118,br_mr,0
119,lmr_intercept_atkin,0
120,,
121,,
122,,
123,FUN_fracfixers,0
124,fun_cn_flex_a,0
125,fun_cn_flex_b,0
126,fun_cn_flex_c,0
127,kc_nonmyc,0
128,kn_nonmyc,0
129,akc_active,0
130,akn_active,0
131,ekc_active,0
132,ekn_active,0
133,,
134,froot_leaf,1
135,stem_leaf,0
136,croot_stem,0
137,flivewd,0
138,frootcn,0
139,frootcn_max,0
140,frootcn_min,0
141,leafcn,1
142,leafcn_max,0
143,leafcn_min,0
144,,
145,leaf_long,0
146,,
147,,
148,,
149,,
150,,
151,,
152,lwtop_ann,0
153,ndays_off,0
154,ndays_on,0
155,,
156,tau_cwd,0
157,tau_l1,0
158,tau_l2_l3,0
159,tau_s1,0
160,tau_s2,0
161,tau_s3,0
162,q10_mr,0
163,,
164,,
165,minpsi_hr,0
166,maxpsi_hr,0
167,,
168,,
169,rf_l1s1_bgc,0
170,rf_l2s1_bgc,0
171,rf_l3s2_bgc,0
172,rf_s2s1_bgc,0
173,rf_s2s3_bgc,0
174,rf_s3s1_bgc,0
175,,
176,,
177,cn_s3_bgc,0
178,decomp_depth_efolding,0
179,max_altdepth_cryoturbation,0
180,max_altmultiplier_cryoturb,0
181,cryoturb_diffusion_k,0
182,,
183,,
184,som_diffus,0
185,,
186,k_nitr_max_perday,0
187,denitrif_respiration_coefficient,0
188,denitrif_respiration_exponent,0
189,denitrif_nitrateconc_coefficient,0
190,denitrif_nitrateconc_exponent,0
191,,
192,,
193,,
194,r_mort,0
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,fsr_pft,0
209,fd_pft,0
210,prh30,0
211,ignition_efficiency,0
212,cc_dstem,0
213,cc_leaf,0
214,cc_lstem,0
215,cc_other,0
216,fm_droot,0
217,fm_dstem,0
218,fm_leaf,0
219,fm_lroot,0
220,fm_lstem,0
221,fm_other,0
222,fm_root,0
223,,
224,vcmaxha,1
225,jmaxha,1
226,tpuha,1
227,lmrha,1
228,kcha,1
229,koha,1
230,cpha,1
231,vcmaxhd,1
232,jmaxhd,1
233,tpuhd,1
234,lmrhd,1
235,vcmaxse_sf,1
236,jmaxse_sf,1
237,tpuse_sf,1
238,jmax25top_sf,1
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
